Party,Parent Category,Category,Gas,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,1. Energy,1.A Fuel Combustion - Sectoral Approach,Aggregate GHGs,Gg CO2 equivalent,,,,,,,,,,,,,,,,3733.22916,,,,,,,,
Afghanistan,1. Energy,1.A Fuel Combustion - Sectoral Approach,CH4,Gg,,,,,,,,,,,,,,,,33.01646,,,,,,,,
Afghanistan,1. Energy,1.A Fuel Combustion - Sectoral Approach,CO2,Gg,,,,,,,,,,,,,,,,2910.04,,,,,,,,
Afghanistan,1. Energy,1.A Fuel Combustion - Sectoral Approach,N2O,Gg,,,,,,,,,,,,,,,,0.41885,,,,,,,,
Afghanistan,1. Energy,1.A.1 Energy Industries,Aggregate GHGs,Gg CO2 equivalent,,,,,,,,,,,,,,,,501.65576,,,,,,,,
Afghanistan,1. Energy,1.A.1 Energy Industries,CH4,Gg,,,,,,,,,,,,,,,,0.01506,,,,,,,,
Afghanistan,1. Energy,1.A.1 Energy Industries,CO2,Gg,,,,,,,,,,,,,,,,500.27,,,,,,,,
Afghanistan,1. Energy,1.A.1 Energy Industries,N2O,Gg,,,,,,,,,,,,,,,,0.00345,,,,,,,,
Afghanistan,1. Energy,1.A.2 Manufacturing Industries and Construction,Aggregate GHGs,Gg CO2 equivalent,,,,,,,,,,,,,,,,151.4344,,,,,,,,
Afghanistan,1. Energy,1.A.2 Manufacturing Industries and Construction,CH4,Gg,,,,,,,,,,,,,,,,0.0104,,,,,,,,
Afghanistan,1. Energy,1.A.2 Manufacturing Industries and Construction,CO2,Gg,,,,,,,,,,,,,,,,150.41,,,,,,,,
Afghanistan,1. Energy,1.A.2 Manufacturing Industries and Construction,N2O,Gg,,,,,,,,,,,,,,,,0.0026,,,,,,,,
Afghanistan,1. Energy,1.A.3 Transport,Aggregate GHGs,Gg CO2 equivalent,,,,,,,,,,,,,,,,1690.79,,,,,,,,
Afghanistan,1. Energy,1.A.3 Transport,CH4,Gg,,,,,,,,,,,,,,,,0.49,,,,,,,,
Afghanistan,1. Energy,1.A.3 Transport,CO2,Gg,,,,,,,,,,,,,,,,1671.2,,,,,,,,
Afghanistan,1. Energy,1.A.3 Transport,N2O,Gg,,,,,,,,,,,,,,,,0.03,,,,,,,,
Afghanistan,1. Energy,1.A.4 Other Sectors,Aggregate GHGs,Gg CO2 equivalent,,,,,,,,,,,,,,,,1389.349,,,,,,,,
Afghanistan,1. Energy,1.A.4 Other Sectors,CH4,Gg,,,,,,,,,,,,,,,,32.501,,,,,,,,
Afghanistan,1. Energy,1.A.4 Other Sectors,CO2,Gg,,,,,,,,,,,,,,,,588.16,,,,,,,,
Afghanistan,1. Energy,1.A.4 Other Sectors,N2O,Gg,,,,,,,,,,,,,,,,0.3828,,,,,,,,
Afghanistan,1. Energy,1.B Fugitive Emissions from Fuels,Aggregate GHGs,Gg CO2 equivalent,,,,,,,,,,,,,,,,42.9303,,,,,,,,
Afghanistan,1. Energy,1.B Fugitive Emissions from Fuels,CH4,Gg,,,,,,,,,,,,,,,,2.0443,,,,,,,,
Afghanistan,1. Energy,1.B.1 Solid Fuels,Aggregate GHGs,Gg CO2 equivalent,,,,,,,,,,,,,,,,42.9303,,,,,,,,
Afghanistan,1. Energy,1.B.1 Solid Fuels,CH4,Gg,,,,,,,,,,,,,,,,2.0443,,,,,,,,
Afghanistan,1.A Fuel Combustion - Sectoral Approach,1.A.1 Energy Industries,Aggregate GHGs,Gg CO2 equivalent,,,,,,,,,,,,,,,,501.65576,,,,,,,,
Afghanistan,1.A Fuel Combustion - Sectoral Approach,1.A.1 Energy Industries,CH4,Gg,,,,,,,,,,,,,,,,0.01506,,,,,,,,
Afghanistan,1.A Fuel Combustion - Sectoral Approach,1.A.1 Energy Industries,CO2,Gg,,,,,,,,,,,,,,,,500.27,,,,,,,,
Afghanistan,1.A Fuel Combustion - Sectoral Approach,1.A.1 Energy Industries,N2O,Gg,,,,,,,,,,,,,,,,0.00345,,,,,,,,
Afghanistan,1.A Fuel Combustion - Sectoral Approach,1.A.2 Manufacturing Industries and Construction,Aggregate GHGs,Gg CO2 equivalent,,,,,,,,,,,,,,,,151.4344,,,,,,,,
Afghanistan,1.A Fuel Combustion - Sectoral Approach,1.A.2 Manufacturing Industries and Construction,CH4,Gg,,,,,,,,,,,,,,,,0.0104,,,,,,,,
Afghanistan,1.A Fuel Combustion - Sectoral Approach,1.A.2 Manufacturing Industries and Construction,CO2,Gg,,,,,,,,,,,,,,,,150.41,,,,,,,,
Afghanistan,1.A Fuel Combustion - Sectoral Approach,1.A.2 Manufacturing Industries and Construction,N2O,Gg,,,,,,,,,,,,,,,,0.0026,,,,,,,,
Afghanistan,1.A Fuel Combustion - Sectoral Approach,1.A.3 Transport,Aggregate GHGs,Gg CO2 equivalent,,,,,,,,,,,,,,,,1690.79,,,,,,,,
Afghanistan,1.A Fuel Combustion - Sectoral Approach,1.A.3 Transport,CH4,Gg,,,,,,,,,,,,,,,,0.49,,,,,,,,
Afghanistan,1.A Fuel Combustion - Sectoral Approach,1.A.3 Transport,CO2,Gg,,,,,,,,,,,,,,,,1671.2,,,,,,,,
Afghanistan,1.A Fuel Combustion - Sectoral Approach,1.A.3 Transport,N2O,Gg,,,,,,,,,,,,,,,,0.03,,,,,,,,
Afghanistan,1.A Fuel Combustion - Sectoral Approach,1.A.4 Other Sectors,Aggregate GHGs,Gg CO2 equivalent,,,,,,,,,,,,,,,,1389.349,,,,,,,,
Afghanistan,1.A Fuel Combustion - Sectoral Approach,1.A.4 Other Sectors,CH4,Gg,,,,,,,,,,,,,,,,32.501,,,,,,,,
Afghanistan,1.A Fuel Combustion - Sectoral Approach,1.A.4 Other Sectors,CO2,Gg,,,,,,,,,,,,,,,,588.16,,,,,,,,
